"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Todoist API for Create New User Endpoint","Create a new label with valid json request","SUCCESS","2023-01-20T13:01:29.544+07:00[Asia/Bangkok]","0.0","0.99"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid json","SUCCESS","2023-01-20T13:01:30.539+07:00[Asia/Bangkok]","0.0","0.92"
"Testing Todoist API for Create New User Endpoint","Create a new label with empty name","SUCCESS","2023-01-20T13:01:31.461+07:00[Asia/Bangkok]","0.0","0.41"
"Testing Todoist API for Create New User Endpoint","Create a new label with invalid token","SUCCESS","2023-01-20T13:01:31.87+07:00[Asia/Bangkok]","0.0","0.95"
"Testing todoist API for Delete a Label endpoint","Delete a label with valid id","SUCCESS","2023-01-20T13:01:32.84+07:00[Asia/Bangkok]","0.0","0.51"
"Testing todoist API for Delete a Label endpoint","Delete a label with unauthorized token","SUCCESS","2023-01-20T13:01:34.31+07:00[Asia/Bangkok]","0.0","0.95"
"Testing Todoist API for Get a Label endpoint","Get a label with valid id","SUCCESS","2023-01-20T13:01:35.262+07:00[Asia/Bangkok]","0.0","1.0"
"Testing Todoist API for Get a Label endpoint","Get a label with invalid id","SUCCESS","2023-01-20T13:01:36.264+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Get a Label endpoint","Get a label with unauthorized token","SUCCESS","2023-01-20T13:01:36.7+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Todoist API for Get All Label endpoint","Get all labels with valid token","SUCCESS","2023-01-20T13:01:37.759+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Todoist API for Get All Label endpoint","Get all labels with unauthorized token","SUCCESS","2023-01-20T13:01:38.786+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with valid token","SUCCESS","2023-01-20T13:01:39.222+07:00[Asia/Bangkok]","0.0","0.52"
"Testing Todoist API for Get All Shared Labels endpoint","Get all shared labels with unauthorized token","SUCCESS","2023-01-20T13:01:39.746+07:00[Asia/Bangkok]","0.0","0.46"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with valid label","SUCCESS","2023-01-20T13:01:40.212+07:00[Asia/Bangkok]","0.0","0.42"
"Testing todoist API for Remove Shared Label endpoint","Remove Shared Label with unauthorized token","SUCCESS","2023-01-20T13:01:41.148+07:00[Asia/Bangkok]","0.0","0.88"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with valid label","SUCCESS","2023-01-20T13:01:42.034+07:00[Asia/Bangkok]","0.0","0.89"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with invalid token","SUCCESS","2023-01-20T13:01:43.959+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Todoist API for Rename Shared Label Endpoint","Rename shared label with empty json","SUCCESS","2023-01-20T13:01:44.989+07:00[Asia/Bangkok]","0.0","0.52"
"Testing Todoist API for Update a Label endpoint","Update a label with valid id","SUCCESS","2023-01-20T13:01:45.511+07:00[Asia/Bangkok]","0.0","1.03"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid id","SUCCESS","2023-01-20T13:01:46.546+07:00[Asia/Bangkok]","0.0","0.46"
"Testing Todoist API for Update a Label endpoint","Update a label with unauthorized token","SUCCESS","2023-01-20T13:01:47.007+07:00[Asia/Bangkok]","0.0","0.5"
"Testing Todoist API for Update a Label endpoint","Update a label with invalid json","SUCCESS","2023-01-20T13:01:47.51+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Update a Label endpoint","Update a label with empty json","SUCCESS","2023-01-20T13:01:47.939+07:00[Asia/Bangkok]","0.0","1.02"
